panel,block,cohort,PC1,PC2
a,radiomics,LUNG1,1.9573011549958206,0.806862400587596
a,radiomics,LUNG1,9.771820423854672,-3.6253235377650825
a,radiomics,LUNG1,4.012677115519256,-1.2364261596165993
a,radiomics,LUNG1,-1.0273918344138344,1.7936182720782092
a,radiomics,LUNG1,6.033705278160144,-4.184729956028773
a,radiomics,LUNG1,-1.6248881491104892,4.837012009620224
a,radiomics,LUNG1,1.8678563814774238,-1.2449263803399657
a,radiomics,LUNG1,5.938190484788985,-3.6276013237599263
a,radiomics,LUNG1,6.62120590623598,-2.305376027660031
a,radiomics,LUNG1,3.402282797031946,-0.00870536730361252
a,radiomics,LUNG1,3.0127151475584744,-0.4311615790047381
a,radiomics,LUNG1,3.9747256418546275,0.7253478780390097
a,radiomics,LUNG1,0.6529629227282424,1.867581108840261
a,radiomics,LUNG1,2.754847341730816,4.181977654622117
a,radiomics,LUNG1,-1.5030485371162812,2.4690541697389783
a,radiomics,LUNG1,12.159310568549781,-5.646070910520496
a,radiomics,LUNG1,7.305302077885754,-0.46661797716081405
a,radiomics,LUNG1,6.832932768759763,0.9147315221101506
a,radiomics,LUNG1,-2.38347470681903,1.973840128723228
a,radiomics,LUNG1,4.768866679975136,4.453323056392968
a,radiomics,LUNG1,2.1638957292312,0.12143480429129264
a,radiomics,LUNG1,3.7674583321040016,2.0139772053079286
a,radiomics,LUNG1,7.515809472688173,-1.6032619389730438
a,radiomics,LUNG1,4.397885876430608,-0.5370170743528198
a,radiomics,LUNG1,2.4361675940664624,-0.3007047992248494
a,radiomics,LUNG1,8.426505792480851,-6.991261883764665
a,radiomics,LUNG1,-2.0059643956056865,2.551117134632944
a,radiomics,LUNG1,4.458176187222559,0.07604657562028366
a,radiomics,LUNG1,1.7633158251846655,0.7570097211282587
a,radiomics,LUNG1,0.7489685534571661,-0.15200794244250654
a,radiomics,LUNG1,1.6424689384267286,-1.2947032604465278
a,radiomics,LUNG1,5.2477040484126825,1.4514409406100457
a,radiomics,LUNG1,-0.5014043259666754,2.429439124640427
a,radiomics,LUNG1,2.1375127848921043,-0.14049190499311015
a,radiomics,LUNG1,4.6504441137617345,-3.9515615602079044
a,radiomics,LUNG1,-1.2868110037953588,4.280719350843462
a,radiomics,LUNG1,3.1322666386974976,-0.7814705508692908
a,radiomics,LUNG1,3.2184027155640726,-0.7121494065642998
a,radiomics,LUNG1,2.7703951185006748,-0.06038869827309532
a,radiomics,LUNG1,7.325526443510012,-6.72541057750892
a,radiomics,LUNG1,3.655145698989635,-2.4288618678806624
a,radiomics,LUNG1,7.119283711764279,-5.1852244567341845
a,radiomics,LUNG1,3.4670579428813064,-0.5024462102660183
